genre,movie_title,review_text
Adventure,Batman v Superman: Dawn of Justice,"I still have faith in the DCU but this movie had problems. Watch my full review here.  http://www.hweird1reviews.com/allreviews/bvsreview"
Adventure,The Lion King,"‘The Lion King’ is a catastrophe; a new low in the ever-diminishing returns of Disney’s endless run of remakes. There’s nothing redeeming about it, with every decision either ill-conceived or mishandl"
Adventure,The Lion King,"If you enjoy reading my Spoiler-Free reviews, please follow my blog :)  I don’t know how I should start, but I guess I’ll address something that people might ask: yes, it’s a SPOILER-FREE review. Wh"
Adventure,The Lion King,"_Vulgar Display of Dour_  _Final rating:★½: - Boring/disappointing. Avoid where possible._"
Adventure,The Lion King,"**Its not as bad as Cats or Star Wars 9.**  Disappointing and inconsistent.  2019 seems to be the year where the big movies were made to look good, but are in reality vapid and this is no exception."
Adventure,The Lion King,"Not at all like the cartoon but not bad either. Let's face it, nothing the could do would or could match the Lion King cartoon original. NOTHING. So I have been a huge fan of Lion King since day one. "
Adventure,Black Panther,"The reviews for _Black Panther_ are all essentially saying the same thing: This is a great movie because it's so different from anything we've seen before, not just in the MCU but in the superhero gen"
Adventure,Black Panther,Overrated and overhyped. Definitely avoid. Watch on redbox if you must.
Adventure,Black Panther,This is definitely one of Marvel's best because the story is compelling and the characters are well developed. Black Panther and his friends and family must defend themselves and their homeland of Wak
Adventure,Black Panther,"Really good movie. Good story, lots of fun. This is what DC is missing."
Adventure,Black Panther,It was with some hesitation that I went to see this movie. I was afraid that it would be burdened with too much political and social preaching. Especially knowing how much the movie is praised amongst
Adventure,Inside Out 2,"""Inside Out 2"" is a heartwarming and imaginative sequel that successfully builds on the emotional depth of its predecessor. Directed by Kelsey Mann, the film revisits Riley as she navigates the comple"
Adventure,Inside Out 2,"The wizards at Pixar have crafted a new gem with “Inside Out 2” which is a rare achievement in that it is a sequel that outdoes the original film.  The movie opens with Riley (Kensington Tallman), j"
Adventure,Inside Out 2,"I really quite enjoyed the first of these (2015) but I struggled a bit to stay engaged with the one. ""Riley"" is still happily coasting through family life until one day, she embarks on the yellow bric"
Adventure,Inside Out 2,"_Inside Out 2_ is a harmless sequel that is fun for all ages but also absolutely unnecessary. The film recycles three-quarters of the original while introducing a quarter of new characters and ideas."
Adventure,Inside Out 2,"Poor Pixar! They just haven't been able to catch a break this decade! Having a majority of their originals dumbed on Disney+, Lightyear flopping, and Elemental just barely managing to make a comeback "
